,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,产品名称,Guangzhou 1 Day,,,产品名称,Guangzhou 1 Day,,,,,,,,,,,,,,,
,产品编号,GZ-P-01,,,产品编号,GZ-P-01,,,,,,,,,,,,,,,
,市内交通方式,半自助打车,,,市内交通方式,包车,,,,,,,,,,,,,,,
,行程,,,,行程,,,,,,,,,,,,,,,,
,D1,世界工厂探秘,,,D1,世界工厂探秘,,,,,,,,,,,,,,,
,产品成本,1300,,,产品成本,2200,,,,,,,,,,,,,,,
,利润保留,30%,,,利润保留,30%,,,,,,,,,,,,,,,
,售价,1690,,,售价,2860,,,,,,,,,,,,,,,
,单人售价/2人,845,,,单人售价/4人,715,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,日期,项目编号,城市,服务类目,项目名称,项目说明,单价,单价（旺季）,单位,数量（2人）,数量（4人）,小计（2人）,小计（4人）,备注,,,,,,,
,Day 1,GZ-GUIDE-02,广州,导游,市场向导/买手,"4h陪同,带领逛专业市场/批发市场",500,,次,1,1,500,500,,,,,,,,
,Day 1,GZ-GUIDE-01,广州,导游,英文导游-初级,8h景点讲解,800,,天,1,1,800,800,,,,,,,,
,Day 1,GZ-ACTIVITY-03,广州,活动,网红直播基地探访,联系基地安排参观和讲解,300,,次,,,0,0,,,,,,,,
,Day 1,GZ-TRANS-06,广州,打车,滴滴快车,市内,200,,天,0,,0,0,,,,,,,,
,Day 1,GZ-REC-01,广州,推荐活动,冰啤/大排档,人均80,,,,,,0,0,,,,,,,,
,Day 1,GZ-TRANS-02,广州,车辆,7座车,市内包车+司机,900,,天,0,1,0,900,,,,,,,,
,,,,,,,,,,,,0,0,,,,,,,,
,总计,,,,,,,,,,,1300,2200,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,产品名称,Guangzhou 2 Days,,,产品名称,Guangzhou 2 Days,,,,,,,,,,,,,,,
