,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,产品名称,Xi’an 2 Day,,,产品名称,Xi’an 2 Day,,,,,,,,,,,,,,,,
,产品编号,XA-P-1D-01,,,产品编号,XA-P-1D-01,,,,,,,,,,,,,,,,
,市内交通方式,半自助打车,,,市内交通方式,私家团,,,,,,,,,,,,,,,,
,行程,,,,行程,,,,,,,,,,,,,,,,,
,D1,兵马俑+DIY+骑行+回民街+唐乐舞,,,D1,兵马俑+DIY+骑行+回民街+唐乐舞,,,,,,,,,,,,,,,,
,产品成本,2480,,,产品成本,4360,,,,,,,,,,,,,,,,
,利润保留,30%,,,利润保留,30%,,,,,,,,,,,,,,,,
,售价,3224,,,售价,5668,,,,,,,,,,,,,,,,
,单人售价/2人,1612,,,单人售价/4人,1417,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,日期,项目编号,城市,服务类目,项目名称,项目说明,单价,单价（旺季）,单位,数量（2人）,数量（4人）,小计（2人）,小计（4人）,备注,,,,,,,,
,Day 1,XA-TICKET-01,西安,门票,秦始皇兵马俑博物馆,门票(含骊山园),120,,人,2,4,240,480,,,,,,,,,
,Day 1,XA-ACTIVITY-01,西安,活动,兵马俑DIY体验,制作小型兵马俑模型,55,,人,2,4,110,220,,,,,,,,,
,Day 1,XA-GUIDE-01,西安,导游,英文导游-初级,8h景点讲解,900,,天,1,1,900,900,,,,,,,,,
,Day 1,XA-ACTIVITY-02,西安,活动,唐乐舞表演,贵宾席,198,,人,,,0,0,,,,,,,,,
,Day 1,XA-TRANS-02,西安,车辆,7座车,市内+兵马俑包车+司机,600,,天,,1,0,600,,,,,,,,,
,Day 1,XA-TRANS-07,西安,打车,滴滴快车,市内+兵马俑,500,,天,,0,0,0,,,,,,,,,
,,,,,,,,,,,,0,0,,,,,,,,,
,Day 2,XA-ACTIVITY-03,西安,活动,城墙自行车租赁,单人车,45,,2小时,2,4,90,180,,,,,,,,,
,Day 2,XA-TICKET-04,西安,门票,钟鼓楼,钟楼、鼓楼联票,50,,人,2,4,100,200,,,,,,,,,
,Day 2,XA-TICKET-06,西安,门票,大慈恩寺,门票,45,,人,2,4,90,180,,,,,,,,,
,Day 2,XA-TICKET-05,西安,门票,大雁塔,登塔费,25,,人,2,4,50,100,,,,,,,,,
,Day 2,XA-GUIDE-01,西安,导游,英文导游-初级,8h景点讲解,900,,天,1,1,900,900,,,,,,,,,
,Day 2,XA-TRANS-06,西安,打车,滴滴快车,市内,180,,天,,0,0,0,,,,,,,,,
,Day 2,XA-TRANS-02,西安,车辆,7座车,市内+兵马俑包车+司机,600,,天,,1,0,600,,,,,,,,,
,Day 2,XA-REC-01,西安,推荐活动,回民街小吃,人均20,,,人,,0,0,0,,,,,,,,,
,,,,,,,,,,,0,0,0,,,,,,,,,
,,,,,,,,,,,0,0,0,,,,,,,,,
,,,,,,,,,,,0,,,,,,,,,,,
