,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,产品名称,Guizhou 4 Days,,,产品名称,Guizhou 4 Days,,,,,,,,,,,,,,,,
,产品编号,GZ-P-01,,,产品编号,GZ-P-01,,,,,,,,,,,,,,,,
,市内交通方式,全程包车,,,市内交通方式,全程包车,,,,,,,,,,,,,,,,
,行程,,,,行程,,,,,,,,,,,,,,,,,
,D1,到达贵阳+甲秀楼+青岩古镇 (宿青岩或贵阳),,,D1,到达贵阳+甲秀楼+青岩古镇 (宿青岩或贵阳),,,,,,,,,,,,,,,,
,D2,施洞苗银村+下司古镇 (宿凯里或镇远),,,D2,施洞苗银村+下司古镇 (宿凯里或镇远),,,,,,,,,,,,,,,,
,D3,肇兴侗寨 (宿肇兴),,,D3,肇兴侗寨 (宿肇兴),,,,,,,,,,,,,,,,
,D4,荔波小七孔+行程结束送机场/市区,,,D4,荔波小七孔+行程结束送机场/市区,,,,,,,,,,,,,,,,
,产品成本,6640,,,产品成本,7980,,,,,,,,,,,,,,,,
,利润保留,30.0%,,,利润保留,30.0%,,,,,,,,,,,,,,,,
,售价,8632,,,售价,10374,,,,,,,,,,,,,,,,
,单人售价/2人,4316,,,单人售价/4人,2593.5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,日期,项目编号,城市,服务类目,项目名称,项目说明,单价,单价（旺季）,单位,数量（2人）,数量（4人）,小计（2人）,小计（4人）,备注,,,,,,,,
,Day 1,GZ-TICKET-01,贵阳,门票,甲秀楼,免费参观,0,,,2,4,0,0,,,,,,,,,
,Day 1,GZ-TICKET-02,贵阳,门票,青岩古镇,门票,10,,人,2,4,20,40,,,,,,,,,
,Day 1,GZ-GUIDE-01,贵州全境,导游,英文导游-初级,8h景点讲解,800,,天,1,1,800,800,,,,,,,,,
,Day 1,GZ-TRANS-03,贵阳-凯里-荔波-贵阳,车辆,7座车,4天跨市包车,3500,,天,,1,0,3500,,,,,,,,,
,Day 1,GZ-TRANS-04,贵阳-凯里-荔波-贵阳,车辆,5座车,4天跨市包车,2800,,天,1,0,2800,0,,,,,,,,,
,,,,,,,,,,,,0,0,,,,,,,,,
,Day 2,GZ-TICKET-03,凯里,门票,施洞苗银村,免费进入,0,,,2,4,0,0,,,,,,,,,
,Day 2,GZ-TICKET-04,凯里,门票,下司古镇,门票,60,,人,2,4,120,240,,,,,,,,,
,Day 2,GZ-GUIDE-01,贵州全境,导游,英文导游-初级,8h景点讲解,800,,天,1,1,800,800,,,,,,,,,
,,,,,,,,,,,,0,0,,,,,,,,,
,Day 3,GZ-TICKET-05,黔东南,门票,肇兴侗寨,门票+观光车,80,,人,2,4,160,320,,,,,,,,,
,Day 3,GZ-GUIDE-01,贵州全境,导游,英文导游-初级,8h景点讲解,800,,天,1,1,800,800,,,,,,,,,
,,,,,,,,,,,,0,0,,,,,,,,,
,Day 4,GZ-TICKET-06,荔波,门票,荔波小七孔,门票+观光车+保险,170,,人,2,4,340,680,,,,,,,,,
,Day 4,GZ-GUIDE-01,贵州全境,导游,英文导游-初级,8h景点讲解,800,,天,1,1,800,800,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,总计,,,,,,,,,,,6640,7980,,,,,,,,,
