,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,产品名称,Yangshuo 2 Days,,,产品名称,Yangshuo 2 Days,,,,,,,,,,,,,,,,
,产品编号,YS-P-01,,,产品编号,YS-P-01,,,,,,,,,,,,,,,,
,市内交通方式,半自助打车,,,市内交通方式,私家团,,,,,,,,,,,,,,,,
,行程,,,,行程,,,,,,,,,,,,,,,,,
,D1,遇龙河漂流+十里画廊骑行+阳朔西街,,,D1,遇龙河漂流+十里画廊骑行+阳朔西街,,,,,,,,,,,,,,,,
,D2,相公山 + 兴坪古镇 + “渔火”表演,,,D2,相公山 + 兴坪古镇 + “渔火”表演,,,,,,,,,,,,,,,,
,产品成本,2220,,,产品成本,4440,,,,,,,,,,,,,,,,
,利润保留,30%,,,利润保留,30%,,,,,,,,,,,,,,,,
,售价,2886,,,售价,5772,,,,,,,,,,,,,,,,
,单人售价/2人,1443,,,单人售价/4人,1443,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,日期,项目编号,城市,服务类目,项目名称,项目说明,单价,单价（旺季）,单位,数量（2人）,数量（4人）,小计（2人）,小计（4人）,备注,,,,,,,,
,Day 1,YS-ACTIVITY-03,阳朔,活动,十里画廊骑行,自行车租赁,20,,天,2,4,40,80,,,,,,,,,
,Day 1,YS-GUIDE-01,阳朔,导游,英文导游-初级,8h景点讲解,700,,天,1,1,700,700,,,,,,,,,
,Day 1,YS-TRANS-01,阳朔,车辆,5座车,县内包车+司机 （含司机住补）,600,,天,,,0,0,,,,,,,,,
,Day 1,YS-TRANS-02,阳朔,车辆,7座车,县内包车+司机（含司机住补）,700,,天,,1,0,700,,,,,,,,,
,Day 1,YS-TRANS-05,阳朔,打车,滴滴快车,县内,200,,天,,,0,0,,,,,,,,,
,Day 1,YS-ACTIVITY-01,阳朔,活动,遇龙河漂流,双人筏 20操作费,220,,筏(2人),1,2,220,440,,,,,,,,,
,,,,,,,,,,,,0,0,,,,,,,,,
,Day 2,YS-TICKET-02,阳朔,门票,相公山,门票,60,,人,2,4,120,240,,,,,,,,,
,Day 2,YS-ACTIVITY-07,阳朔,活动,“渔火”表演,双人筏 20操作费,220,,筏(2人),2,4,440,880,,,,,,,,,
,Day 2,YS-GUIDE-01,阳朔,导游,英文导游-初级,8h景点讲解,700,,天,1,1,700,700,,,,,,,,,
,Day 2,YS-TRANS-01,阳朔,车辆,5座车,县内包车+司机 （含司机住补）,600,,天,,,0,0,,,,,,,,,
,Day 2,YS-TRANS-02,阳朔,车辆,7座车,县内包车+司机（含司机住补）,700,,天,,1,0,700,,,,,,,,,
,Day 2,YS-TRANS-05,阳朔,打车,滴滴快车,县内,200,,天,,,,,,,,,,,,,
,总计,,,,,,,,,,,2220,4440,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,产品名称,Yangshuo 3 Days,,,产品名称,Yangshuo 3 Days,,,,,,,,,,,,,,,,
,产品编号,YS-P-02,,,产品编号,YS-P-02,,,,,,,,,,,,,,,,
,市内交通方式,半自助打车,,,市内交通方式,私家团,,,,,,,,,,,,,,,,
,行程,,,,行程,,,,,,,,,,,,,,,,,
,D1,遇龙河漂流+十里画廊骑行+阳朔西街,,,D1,遇龙河漂流+十里画廊骑行+阳朔西街,,,,,,,,,,,,,,,,
,D2,相公山 + 兴坪古镇 + “渔火”表演,,,D2,相公山 + 兴坪古镇 + “渔火”表演,,,,,,,,,,,,,,,,
,,全地形山地车 + 岩洞探险or飞拉达 + 中餐烹饪体验,,,,全地形山地车 + 岩洞探险or飞拉达 + 中餐烹饪体验,,,,,,,,,,,,,,,,
,产品成本,4516,,,产品成本,9032,,,,,,,,,,,,,,,,
,利润保留,30%,,,利润保留,30%,,,,,,,,,,,,,,,,
,售价,5870.8,,,售价,11741.6,,,,,,,,,,,,,,,,
,单人售价/2人,2935.4,,,单人售价/4人,2935.4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,日期,项目编号,城市,服务类目,项目名称,项目说明,单价,单价（旺季）,单位,数量（2人）,数量（4人）,小计（2人）,小计（4人）,备注,,,,,,,,
,Day 1,YS-ACTIVITY-03,阳朔,活动,十里画廊骑行,自行车租赁,20,,天,2,4,40,80,,,,,,,,,
,Day 1,YS-GUIDE-01,阳朔,导游,英文导游-初级,8h景点讲解,700,,天,1,1,700,700,,,,,,,,,
,Day 1,YS-TRANS-01,阳朔,车辆,5座车,县内包车+司机 （含司机住补）,600,,天,,,0,0,,,,,,,,,
,Day 1,YS-TRANS-02,阳朔,车辆,7座车,县内包车+司机（含司机住补）,700,,天,,1,0,700,,,,,,,,,
,Day 1,YS-TRANS-05,阳朔,打车,滴滴快车,县内,200,,天,,,0,0,,,,,,,,,
,Day 1,YS-ACTIVITY-01,阳朔,活动,遇龙河漂流,双人筏 20操作费,220,,筏(2人),1,2,220,440,,,,,,,,,
,,,,,,,,,,,,0,0,,,,,,,,,
,Day 2,YS-TICKET-02,阳朔,门票,相公山,门票,60,,人,2,4,120,240,,,,,,,,,
,Day 2,YS-ACTIVITY-07,阳朔,活动,“渔火”表演,双人筏 20操作费,220,,筏(2人),2,4,440,880,,,,,,,,,
,Day 2,YS-GUIDE-01,阳朔,导游,英文导游-初级,8h景点讲解,700,,天,1,1,700,700,,,,,,,,,
,Day 2,YS-TRANS-01,阳朔,车辆,5座车,县内包车+司机 （含司机住补）,600,,天,,,0,0,,,,,,,,,
,Day 2,YS-TRANS-02,阳朔,车辆,7座车,县内包车+司机（含司机住补）,700,,天,,1,0,700,,,,,,,,,
,Day 2,YS-TRANS-05,阳朔,打车,滴滴快车,县内,200,,天,,,0,0,,,,,,,,,
,,,,,,,,,,,,0,0,,,,,,,,,
,Day 3,YS-TRANS-02,阳朔,车辆,7座车,县内包车+司机（含司机住补）,700,,天,,1,0,700,,,,,,,,,
,Day 3,YS-ACTIVITY-04,阳朔,活动,岩洞探险,月亮水岩洞，含英文专业教练（提前2天约）,300,"
",人,2,4,600,1200,,,,,,,,,
,Day 3,YS-ACTIVITY-05,阳朔,活动,飞拉达,攀岩体验，含英文专业教练（提前2天约）,300,"
",人,,,0,0,,,,,,,,,
,Day 3,YS-ACTIVITY-06,阳朔,活动,中餐烹饪体验,市场买菜+烹饪课程,200,"
",人,2,4,400,800,,,,,,,,,
,Day 3,YS-ACTIVITY-08,阳朔,活动,山地车,,298,"
",人,2,4,596,1192,,,,,,,,,
,Day 3,YS-GUIDE-01,阳朔,导游,英文导游-初级,8h景点讲解,700,,天,1,1,700,700,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,总计,,,,,,,,,,,4516,9032,,,,,,,,,
